characteristic	 value	 user_id	 study_name	 
religionid	2	10593695	pinus.ybalab.qiat.sc2
politicalid	3	10593695	pinus.ybalab.qiat.sc2
birthmonth	4	10593695	pinus.ybalab.qiat.sc2
genoccupation	43	10593695	pinus.ybalab.qiat.sc2
raceomb	6	10593695	pinus.ybalab.qiat.sc2
education	9	10593695	pinus.ybalab.qiat.sc2
sex	f	10593695	pinus.ybalab.qiat.sc2
religion	protestant	10593695	pinus.ybalab.qiat.sc2
citizenship	uk	10593695	pinus.ybalab.qiat.sc2
residence	uk	10593695	pinus.ybalab.qiat.sc2
dayofbirth	.	10593705	pinus.ybalab.qiat.sc2
politicalid	0	10593705	pinus.ybalab.qiat.sc2
religionid	1	10593705	pinus.ybalab.qiat.sc2
birthmonth	12	10593705	pinus.ybalab.qiat.sc2
genoccupation	13	10593705	pinus.ybalab.qiat.sc2
major	13	10593705	pinus.ybalab.qiat.sc2
occupation	13-1000	10593705	pinus.ybalab.qiat.sc2
birthyear	1965	10593705	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593705	pinus.ybalab.qiat.sc2
raceomb	6	10593705	pinus.ybalab.qiat.sc2
education	8	10593705	pinus.ybalab.qiat.sc2
religion	catholic	10593705	pinus.ybalab.qiat.sc2
sex	f	10593705	pinus.ybalab.qiat.sc2
relfamily	roman catholic	10593705	pinus.ybalab.qiat.sc2
residence	sm	10593705	pinus.ybalab.qiat.sc2
citizenship	us	10593705	pinus.ybalab.qiat.sc2
dayofbirth	.	10593708	pinus.ybalab.qiat.sc2
education	12	10593708	pinus.ybalab.qiat.sc2
birthyear	1955	10593708	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593708	pinus.ybalab.qiat.sc2
religionid	2	10593708	pinus.ybalab.qiat.sc2
genoccupation	25	10593708	pinus.ybalab.qiat.sc2
occupation	25-1000	10593708	pinus.ybalab.qiat.sc2
politicalid	3	10593708	pinus.ybalab.qiat.sc2
raceomb	6	10593708	pinus.ybalab.qiat.sc2
birthmonth	8	10593708	pinus.ybalab.qiat.sc2
major	8	10593708	pinus.ybalab.qiat.sc2
religion	catholic	10593708	pinus.ybalab.qiat.sc2
sex	f	10593708	pinus.ybalab.qiat.sc2
relfamily	roman catholic	10593708	pinus.ybalab.qiat.sc2
residence	sm	10593708	pinus.ybalab.qiat.sc2
citizenship	uk	10593708	pinus.ybalab.qiat.sc2
dayofbirth	.	10593710	pinus.ybalab.qiat.sc2
relfamily	.	10593710	pinus.ybalab.qiat.sc2
religionid	1	10593710	pinus.ybalab.qiat.sc2
genoccupation	13	10593710	pinus.ybalab.qiat.sc2
birthyear	1985	10593710	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593710	pinus.ybalab.qiat.sc2
major	2	10593710	pinus.ybalab.qiat.sc2
politicalid	2	10593710	pinus.ybalab.qiat.sc2
birthmonth	4	10593710	pinus.ybalab.qiat.sc2
raceomb	6	10593710	pinus.ybalab.qiat.sc2
education	9	10593710	pinus.ybalab.qiat.sc2
citizenship	il	10593710	pinus.ybalab.qiat.sc2
residence	il	10593710	pinus.ybalab.qiat.sc2
religion	jewish	10593710	pinus.ybalab.qiat.sc2
sex	m	10593710	pinus.ybalab.qiat.sc2
dayofbirth	.	10593711	pinus.ybalab.qiat.sc2
relfamily	.	10593711	pinus.ybalab.qiat.sc2
politicalid	0	10593711	pinus.ybalab.qiat.sc2
birthyear	1959	10593711	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593711	pinus.ybalab.qiat.sc2
religionid	2	10593711	pinus.ybalab.qiat.sc2
genoccupation	25-9999	10593711	pinus.ybalab.qiat.sc2
raceomb	6	10593711	pinus.ybalab.qiat.sc2
birthmonth	7	10593711	pinus.ybalab.qiat.sc2
major	7	10593711	pinus.ybalab.qiat.sc2
education	8	10593711	pinus.ybalab.qiat.sc2
sex	f	10593711	pinus.ybalab.qiat.sc2
religion	otherrelig	10593711	pinus.ybalab.qiat.sc2
citizenship	us	10593711	pinus.ybalab.qiat.sc2
residence	us	10593711	pinus.ybalab.qiat.sc2
dayofbirth	.	10593712	pinus.ybalab.qiat.sc2
politicalid	0	10593712	pinus.ybalab.qiat.sc2
genoccupation	17	10593712	pinus.ybalab.qiat.sc2
birthyear	1992	10593712	pinus.ybalab.qiat.sc2
ethnicityomb	3	10593712	pinus.ybalab.qiat.sc2
religionid	4	10593712	pinus.ybalab.qiat.sc2
major	6	10593712	pinus.ybalab.qiat.sc2
raceomb	6	10593712	pinus.ybalab.qiat.sc2
education	7	10593712	pinus.ybalab.qiat.sc2
birthmonth	8	10593712	pinus.ybalab.qiat.sc2
sex	f	10593712	pinus.ybalab.qiat.sc2
religion	otherrelig	10593712	pinus.ybalab.qiat.sc2
citizenship	us	10593712	pinus.ybalab.qiat.sc2
residence	us	10593712	pinus.ybalab.qiat.sc2
dayofbirth	.	10593720	pinus.ybalab.qiat.sc2
politicalid	0	10593720	pinus.ybalab.qiat.sc2
religionid	1	10593720	pinus.ybalab.qiat.sc2
major	13	10593720	pinus.ybalab.qiat.sc2
birthyear	1968	10593720	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593720	pinus.ybalab.qiat.sc2
birthmonth	4	10593720	pinus.ybalab.qiat.sc2
genoccupation	43	10593720	pinus.ybalab.qiat.sc2
education	5	10593720	pinus.ybalab.qiat.sc2
raceomb	6	10593720	pinus.ybalab.qiat.sc2
sex	f	10593720	pinus.ybalab.qiat.sc2
religion	none	10593720	pinus.ybalab.qiat.sc2
citizenship	us	10593720	pinus.ybalab.qiat.sc2
residence	us	10593720	pinus.ybalab.qiat.sc2
dayofbirth	.	10593722	pinus.ybalab.qiat.sc2
ethnicityomb	.	10593722	pinus.ybalab.qiat.sc2
major	.	10593722	pinus.ybalab.qiat.sc2
politicalid	0	10593722	pinus.ybalab.qiat.sc2
genoccupation	11	10593722	pinus.ybalab.qiat.sc2
occupation	11-9000	10593722	pinus.ybalab.qiat.sc2
birthyear	1965	10593722	pinus.ybalab.qiat.sc2
religionid	3	10593722	pinus.ybalab.qiat.sc2
education	4	10593722	pinus.ybalab.qiat.sc2
raceomb	5	10593722	pinus.ybalab.qiat.sc2
birthmonth	7	10593722	pinus.ybalab.qiat.sc2
sex	m	10593722	pinus.ybalab.qiat.sc2
relfamily	other: not listed	10593722	pinus.ybalab.qiat.sc2
religion	otherrelig	10593722	pinus.ybalab.qiat.sc2
citizenship	us	10593722	pinus.ybalab.qiat.sc2
residence	us	10593722	pinus.ybalab.qiat.sc2
dayofbirth	.	10593723	pinus.ybalab.qiat.sc2
residence	.	10593723	pinus.ybalab.qiat.sc2
religionid	1	10593723	pinus.ybalab.qiat.sc2
birthmonth	12	10593723	pinus.ybalab.qiat.sc2
birthyear	1976	10593723	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593723	pinus.ybalab.qiat.sc2
politicalid	2	10593723	pinus.ybalab.qiat.sc2
genoccupation	2931	10593723	pinus.ybalab.qiat.sc2
occupation	31-1000	10593723	pinus.ybalab.qiat.sc2
raceomb	4	10593723	pinus.ybalab.qiat.sc2
education	7	10593723	pinus.ybalab.qiat.sc2
major	7	10593723	pinus.ybalab.qiat.sc2
sex	f	10593723	pinus.ybalab.qiat.sc2
religion	none	10593723	pinus.ybalab.qiat.sc2
relfamily	other non-religious	10593723	pinus.ybalab.qiat.sc2
citizenship	us	10593723	pinus.ybalab.qiat.sc2
dayofbirth	.	10593740	pinus.ybalab.qiat.sc2
ethnicityomb	.	10593740	pinus.ybalab.qiat.sc2
relfamily	.	10593740	pinus.ybalab.qiat.sc2
birthyear	1968	10593740	pinus.ybalab.qiat.sc2
politicalid	2	10593740	pinus.ybalab.qiat.sc2
religionid	2	10593740	pinus.ybalab.qiat.sc2
genoccupation	25	10593740	pinus.ybalab.qiat.sc2
major	4	10593740	pinus.ybalab.qiat.sc2
raceomb	6	10593740	pinus.ybalab.qiat.sc2
birthmonth	9	10593740	pinus.ybalab.qiat.sc2
education	9	10593740	pinus.ybalab.qiat.sc2
sex	f	10593740	pinus.ybalab.qiat.sc2
religion	protestant	10593740	pinus.ybalab.qiat.sc2
citizenship	us	10593740	pinus.ybalab.qiat.sc2
residence	us	10593740	pinus.ybalab.qiat.sc2
dayofbirth	.	10593747	pinus.ybalab.qiat.sc2
birthmonth	12	10593747	pinus.ybalab.qiat.sc2
birthyear	1971	10593747	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593747	pinus.ybalab.qiat.sc2
major	2	10593747	pinus.ybalab.qiat.sc2
politicalid	2	10593747	pinus.ybalab.qiat.sc2
religionid	2	10593747	pinus.ybalab.qiat.sc2
raceomb	6	10593747	pinus.ybalab.qiat.sc2
education	7	10593747	pinus.ybalab.qiat.sc2
genoccupation	99-0001	10593747	pinus.ybalab.qiat.sc2
occupation	99-0001	10593747	pinus.ybalab.qiat.sc2
sex	f	10593747	pinus.ybalab.qiat.sc2
religion	jewish	10593747	pinus.ybalab.qiat.sc2
relfamily	other jewish	10593747	pinus.ybalab.qiat.sc2
citizenship	us	10593747	pinus.ybalab.qiat.sc2
residence	us	10593747	pinus.ybalab.qiat.sc2
dayofbirth	.	10593753	pinus.ybalab.qiat.sc2
education	.	10593753	pinus.ybalab.qiat.sc2
major	.	10593753	pinus.ybalab.qiat.sc2
relfamily	.	10593753	pinus.ybalab.qiat.sc2
raceomb	1	10593753	pinus.ybalab.qiat.sc2
religionid	1	10593753	pinus.ybalab.qiat.sc2
birthyear	1998	10593753	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593753	pinus.ybalab.qiat.sc2
politicalid	2	10593753	pinus.ybalab.qiat.sc2
genoccupation	25-9999	10593753	pinus.ybalab.qiat.sc2
birthmonth	5	10593753	pinus.ybalab.qiat.sc2
sex	f	10593753	pinus.ybalab.qiat.sc2
religion	none	10593753	pinus.ybalab.qiat.sc2
citizenship	us	10593753	pinus.ybalab.qiat.sc2
residence	us	10593753	pinus.ybalab.qiat.sc2
dayofbirth	.	10593756	pinus.ybalab.qiat.sc2
relfamily	.	10593756	pinus.ybalab.qiat.sc2
politicalid	0	10593756	pinus.ybalab.qiat.sc2
religionid	1	10593756	pinus.ybalab.qiat.sc2
genoccupation	11	10593756	pinus.ybalab.qiat.sc2
birthyear	1968	10593756	pinus.ybalab.qiat.sc2
major	2	10593756	pinus.ybalab.qiat.sc2
ethnicityomb	3	10593756	pinus.ybalab.qiat.sc2
birthmonth	4	10593756	pinus.ybalab.qiat.sc2
education	6	10593756	pinus.ybalab.qiat.sc2
raceomb	9	10593756	pinus.ybalab.qiat.sc2
sex	f	10593756	pinus.ybalab.qiat.sc2
religion	otherrelig	10593756	pinus.ybalab.qiat.sc2
citizenship	us	10593756	pinus.ybalab.qiat.sc2
residence	us	10593756	pinus.ybalab.qiat.sc2
dayofbirth	.	10593761	pinus.ybalab.qiat.sc2
religionid	1	10593761	pinus.ybalab.qiat.sc2
birthyear	1970	10593761	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593761	pinus.ybalab.qiat.sc2
genoccupation	27	10593761	pinus.ybalab.qiat.sc2
occupation	27-3000	10593761	pinus.ybalab.qiat.sc2
major	3	10593761	pinus.ybalab.qiat.sc2
politicalid	3	10593761	pinus.ybalab.qiat.sc2
birthmonth	5	10593761	pinus.ybalab.qiat.sc2
raceomb	6	10593761	pinus.ybalab.qiat.sc2
education	7	10593761	pinus.ybalab.qiat.sc2
relfamily	agnostic	10593761	pinus.ybalab.qiat.sc2
sex	m	10593761	pinus.ybalab.qiat.sc2
religion	none	10593761	pinus.ybalab.qiat.sc2
residence	sm	10593761	pinus.ybalab.qiat.sc2
citizenship	us	10593761	pinus.ybalab.qiat.sc2
dayofbirth	.	10593767	pinus.ybalab.qiat.sc2
religionid	1	10593767	pinus.ybalab.qiat.sc2
birthmonth	12	10593767	pinus.ybalab.qiat.sc2
education	12	10593767	pinus.ybalab.qiat.sc2
birthyear	1950	10593767	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593767	pinus.ybalab.qiat.sc2
politicalid	2	10593767	pinus.ybalab.qiat.sc2
genoccupation	25	10593767	pinus.ybalab.qiat.sc2
occupation	25-1000	10593767	pinus.ybalab.qiat.sc2
major	5	10593767	pinus.ybalab.qiat.sc2
raceomb	6	10593767	pinus.ybalab.qiat.sc2
relfamily	atheist	10593767	pinus.ybalab.qiat.sc2
sex	m	10593767	pinus.ybalab.qiat.sc2
religion	none	10593767	pinus.ybalab.qiat.sc2
residence	sm	10593767	pinus.ybalab.qiat.sc2
citizenship	us	10593767	pinus.ybalab.qiat.sc2
dayofbirth	.	10593769	pinus.ybalab.qiat.sc2
politicalid	0	10593769	pinus.ybalab.qiat.sc2
ethnicityomb	1	10593769	pinus.ybalab.qiat.sc2
birthyear	1988	10593769	pinus.ybalab.qiat.sc2
religionid	4	10593769	pinus.ybalab.qiat.sc2
genoccupation	41	10593769	pinus.ybalab.qiat.sc2
occupation	41-9000	10593769	pinus.ybalab.qiat.sc2
education	5	10593769	pinus.ybalab.qiat.sc2
birthmonth	6	10593769	pinus.ybalab.qiat.sc2
major	8	10593769	pinus.ybalab.qiat.sc2
raceomb	8	10593769	pinus.ybalab.qiat.sc2
reldenom	assemblies of god	10593769	pinus.ybalab.qiat.sc2
sex	m	10593769	pinus.ybalab.qiat.sc2
relfamily	pentecostal	10593769	pinus.ybalab.qiat.sc2
religion	protestant	10593769	pinus.ybalab.qiat.sc2
residence	sm	10593769	pinus.ybalab.qiat.sc2
citizenship	us	10593769	pinus.ybalab.qiat.sc2
citizenship	.	10593771	pinus.ybalab.qiat.sc2
dayofbirth	.	10593771	pinus.ybalab.qiat.sc2
education	.	10593771	pinus.ybalab.qiat.sc2
ethnicityomb	.	10593771	pinus.ybalab.qiat.sc2
genoccupation	.	10593771	pinus.ybalab.qiat.sc2
major	.	10593771	pinus.ybalab.qiat.sc2
politicalid	.	10593771	pinus.ybalab.qiat.sc2
raceomb	.	10593771	pinus.ybalab.qiat.sc2
religion	.	10593771	pinus.ybalab.qiat.sc2
religionid	.	10593771	pinus.ybalab.qiat.sc2
residence	.	10593771	pinus.ybalab.qiat.sc2
birthyear	1981	10593771	pinus.ybalab.qiat.sc2
birthmonth	8	10593771	pinus.ybalab.qiat.sc2
sex	m	10593771	pinus.ybalab.qiat.sc2
dayofbirth	.	10593772	pinus.ybalab.qiat.sc2
relfamily	.	10593772	pinus.ybalab.qiat.sc2
politicalid	0	10593772	pinus.ybalab.qiat.sc2
birthyear	1997	10593772	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593772	pinus.ybalab.qiat.sc2
religionid	2	10593772	pinus.ybalab.qiat.sc2
genoccupation	25-9999	10593772	pinus.ybalab.qiat.sc2
birthmonth	5	10593772	pinus.ybalab.qiat.sc2
education	5	10593772	pinus.ybalab.qiat.sc2
major	5	10593772	pinus.ybalab.qiat.sc2
raceomb	6	10593772	pinus.ybalab.qiat.sc2
sex	f	10593772	pinus.ybalab.qiat.sc2
religion	protestant	10593772	pinus.ybalab.qiat.sc2
citizenship	us	10593772	pinus.ybalab.qiat.sc2
residence	us	10593772	pinus.ybalab.qiat.sc2
politicalid	-2	10593776	pinus.ybalab.qiat.sc2
dayofbirth	.	10593776	pinus.ybalab.qiat.sc2
genoccupation	11	10593776	pinus.ybalab.qiat.sc2
occupation	11-9000	10593776	pinus.ybalab.qiat.sc2
education	14	10593776	pinus.ybalab.qiat.sc2
birthyear	1974	10593776	pinus.ybalab.qiat.sc2
birthmonth	2	10593776	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593776	pinus.ybalab.qiat.sc2
religionid	2	10593776	pinus.ybalab.qiat.sc2
major	6	10593776	pinus.ybalab.qiat.sc2
raceomb	6	10593776	pinus.ybalab.qiat.sc2
citizenship	ca	10593776	pinus.ybalab.qiat.sc2
sex	f	10593776	pinus.ybalab.qiat.sc2
relfamily	other: not listed	10593776	pinus.ybalab.qiat.sc2
religion	otherrelig	10593776	pinus.ybalab.qiat.sc2
residence	sm	10593776	pinus.ybalab.qiat.sc2
dayofbirth	.	10593778	pinus.ybalab.qiat.sc2
birthmonth	11	10593778	pinus.ybalab.qiat.sc2
education	13	10593778	pinus.ybalab.qiat.sc2
birthyear	1979	10593778	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593778	pinus.ybalab.qiat.sc2
politicalid	2	10593778	pinus.ybalab.qiat.sc2
religionid	2	10593778	pinus.ybalab.qiat.sc2
genoccupation	25	10593778	pinus.ybalab.qiat.sc2
occupation	25-5000	10593778	pinus.ybalab.qiat.sc2
major	5	10593778	pinus.ybalab.qiat.sc2
raceomb	6	10593778	pinus.ybalab.qiat.sc2
religion	catholic	10593778	pinus.ybalab.qiat.sc2
sex	f	10593778	pinus.ybalab.qiat.sc2
relfamily	roman catholic	10593778	pinus.ybalab.qiat.sc2
citizenship	us	10593778	pinus.ybalab.qiat.sc2
residence	us	10593778	pinus.ybalab.qiat.sc2
dayofbirth	.	10593793	pinus.ybalab.qiat.sc2
ethnicityomb	.	10593793	pinus.ybalab.qiat.sc2
major	11	10593793	pinus.ybalab.qiat.sc2
birthyear	1977	10593793	pinus.ybalab.qiat.sc2
religionid	2	10593793	pinus.ybalab.qiat.sc2
genoccupation	25	10593793	pinus.ybalab.qiat.sc2
occupation	25-5000	10593793	pinus.ybalab.qiat.sc2
politicalid	3	10593793	pinus.ybalab.qiat.sc2
birthmonth	5	10593793	pinus.ybalab.qiat.sc2
raceomb	6	10593793	pinus.ybalab.qiat.sc2
education	9	10593793	pinus.ybalab.qiat.sc2
sex	f	10593793	pinus.ybalab.qiat.sc2
religion	otherrelig	10593793	pinus.ybalab.qiat.sc2
relfamily	pagan or neo-pagan	10593793	pinus.ybalab.qiat.sc2
citizenship	uk	10593793	pinus.ybalab.qiat.sc2
residence	us	10593793	pinus.ybalab.qiat.sc2
dayofbirth	.	10593794	pinus.ybalab.qiat.sc2
relfamily	.	10593794	pinus.ybalab.qiat.sc2
religionid	1	10593794	pinus.ybalab.qiat.sc2
birthyear	1977	10593794	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593794	pinus.ybalab.qiat.sc2
genoccupation	27	10593794	pinus.ybalab.qiat.sc2
politicalid	3	10593794	pinus.ybalab.qiat.sc2
education	5	10593794	pinus.ybalab.qiat.sc2
raceomb	6	10593794	pinus.ybalab.qiat.sc2
major	8	10593794	pinus.ybalab.qiat.sc2
birthmonth	9	10593794	pinus.ybalab.qiat.sc2
sex	f	10593794	pinus.ybalab.qiat.sc2
religion	none	10593794	pinus.ybalab.qiat.sc2
citizenship	us	10593794	pinus.ybalab.qiat.sc2
residence	us	10593794	pinus.ybalab.qiat.sc2
dayofbirth	.	10593795	pinus.ybalab.qiat.sc2
education	.	10593795	pinus.ybalab.qiat.sc2
genoccupation	.	10593795	pinus.ybalab.qiat.sc2
major	.	10593795	pinus.ybalab.qiat.sc2
politicalid	.	10593795	pinus.ybalab.qiat.sc2
religion	.	10593795	pinus.ybalab.qiat.sc2
religionid	.	10593795	pinus.ybalab.qiat.sc2
birthyear	1989	10593795	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593795	pinus.ybalab.qiat.sc2
raceomb	6	10593795	pinus.ybalab.qiat.sc2
birthmonth	7	10593795	pinus.ybalab.qiat.sc2
citizenship	ca	10593795	pinus.ybalab.qiat.sc2
residence	ca	10593795	pinus.ybalab.qiat.sc2
sex	m	10593795	pinus.ybalab.qiat.sc2
dayofbirth	.	10593801	pinus.ybalab.qiat.sc2
religionid	1	10593801	pinus.ybalab.qiat.sc2
birthyear	1988	10593801	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593801	pinus.ybalab.qiat.sc2
politicalid	2	10593801	pinus.ybalab.qiat.sc2
genoccupation	2931	10593801	pinus.ybalab.qiat.sc2
birthmonth	3	10593801	pinus.ybalab.qiat.sc2
occupation	31-9000	10593801	pinus.ybalab.qiat.sc2
raceomb	6	10593801	pinus.ybalab.qiat.sc2
major	7	10593801	pinus.ybalab.qiat.sc2
education	8	10593801	pinus.ybalab.qiat.sc2
religion	catholic	10593801	pinus.ybalab.qiat.sc2
sex	m	10593801	pinus.ybalab.qiat.sc2
relfamily	roman catholic	10593801	pinus.ybalab.qiat.sc2
citizenship	us	10593801	pinus.ybalab.qiat.sc2
residence	us	10593801	pinus.ybalab.qiat.sc2
dayofbirth	.	10593802	pinus.ybalab.qiat.sc2
ethnicityomb	.	10593802	pinus.ybalab.qiat.sc2
politicalid	.	10593802	pinus.ybalab.qiat.sc2
religion	.	10593802	pinus.ybalab.qiat.sc2
religionid	.	10593802	pinus.ybalab.qiat.sc2
genoccupation	13	10593802	pinus.ybalab.qiat.sc2
major	13	10593802	pinus.ybalab.qiat.sc2
birthyear	1962	10593802	pinus.ybalab.qiat.sc2
raceomb	6	10593802	pinus.ybalab.qiat.sc2
birthmonth	7	10593802	pinus.ybalab.qiat.sc2
education	9	10593802	pinus.ybalab.qiat.sc2
citizenship	fr	10593802	pinus.ybalab.qiat.sc2
residence	fr	10593802	pinus.ybalab.qiat.sc2
sex	m	10593802	pinus.ybalab.qiat.sc2
citizenship	.	10593803	pinus.ybalab.qiat.sc2
dayofbirth	.	10593803	pinus.ybalab.qiat.sc2
education	.	10593803	pinus.ybalab.qiat.sc2
ethnicityomb	.	10593803	pinus.ybalab.qiat.sc2
genoccupation	.	10593803	pinus.ybalab.qiat.sc2
major	.	10593803	pinus.ybalab.qiat.sc2
politicalid	.	10593803	pinus.ybalab.qiat.sc2
raceomb	.	10593803	pinus.ybalab.qiat.sc2
religion	.	10593803	pinus.ybalab.qiat.sc2
religionid	.	10593803	pinus.ybalab.qiat.sc2
residence	.	10593803	pinus.ybalab.qiat.sc2
sex	.	10593803	pinus.ybalab.qiat.sc2
birthmonth	12	10593803	pinus.ybalab.qiat.sc2
birthyear	1977	10593803	pinus.ybalab.qiat.sc2
dayofbirth	.	10593806	pinus.ybalab.qiat.sc2
relfamily	.	10593806	pinus.ybalab.qiat.sc2
religionid	1	10593806	pinus.ybalab.qiat.sc2
birthyear	1982	10593806	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593806	pinus.ybalab.qiat.sc2
politicalid	2	10593806	pinus.ybalab.qiat.sc2
genoccupation	25	10593806	pinus.ybalab.qiat.sc2
birthmonth	7	10593806	pinus.ybalab.qiat.sc2
education	8	10593806	pinus.ybalab.qiat.sc2
major	8	10593806	pinus.ybalab.qiat.sc2
raceomb	8	10593806	pinus.ybalab.qiat.sc2
sex	f	10593806	pinus.ybalab.qiat.sc2
religion	none	10593806	pinus.ybalab.qiat.sc2
citizenship	nz	10593806	pinus.ybalab.qiat.sc2
residence	sm	10593806	pinus.ybalab.qiat.sc2
dayofbirth	.	10593810	pinus.ybalab.qiat.sc2
politicalid	0	10593810	pinus.ybalab.qiat.sc2
ethnicityomb	1	10593810	pinus.ybalab.qiat.sc2
birthmonth	10	10593810	pinus.ybalab.qiat.sc2
major	10	10593810	pinus.ybalab.qiat.sc2
birthyear	1987	10593810	pinus.ybalab.qiat.sc2
genoccupation	25-9999	10593810	pinus.ybalab.qiat.sc2
occupation	25-9999	10593810	pinus.ybalab.qiat.sc2
religionid	3	10593810	pinus.ybalab.qiat.sc2
raceomb	6	10593810	pinus.ybalab.qiat.sc2
education	7	10593810	pinus.ybalab.qiat.sc2
reldenom	church of jesus christ of latter day saints	10593810	pinus.ybalab.qiat.sc2
sex	f	10593810	pinus.ybalab.qiat.sc2
relfamily	lds	10593810	pinus.ybalab.qiat.sc2
religion	protestant	10593810	pinus.ybalab.qiat.sc2
citizenship	us	10593810	pinus.ybalab.qiat.sc2
residence	us	10593810	pinus.ybalab.qiat.sc2
dayofbirth	.	10593815	pinus.ybalab.qiat.sc2
religionid	1	10593815	pinus.ybalab.qiat.sc2
birthmonth	10	10593815	pinus.ybalab.qiat.sc2
major	10	10593815	pinus.ybalab.qiat.sc2
birthyear	1988	10593815	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593815	pinus.ybalab.qiat.sc2
genoccupation	25-9999	10593815	pinus.ybalab.qiat.sc2
occupation	25-9999	10593815	pinus.ybalab.qiat.sc2
politicalid	3	10593815	pinus.ybalab.qiat.sc2
raceomb	6	10593815	pinus.ybalab.qiat.sc2
education	8	10593815	pinus.ybalab.qiat.sc2
relfamily	atheist	10593815	pinus.ybalab.qiat.sc2
sex	f	10593815	pinus.ybalab.qiat.sc2
religion	none	10593815	pinus.ybalab.qiat.sc2
citizenship	us	10593815	pinus.ybalab.qiat.sc2
residence	us	10593815	pinus.ybalab.qiat.sc2
dayofbirth	.	10593816	pinus.ybalab.qiat.sc2
ethnicityomb	.	10593816	pinus.ybalab.qiat.sc2
politicalid	0	10593816	pinus.ybalab.qiat.sc2
education	11	10593816	pinus.ybalab.qiat.sc2
birthyear	1958	10593816	pinus.ybalab.qiat.sc2
occupation	29-1000	10593816	pinus.ybalab.qiat.sc2
genoccupation	2931	10593816	pinus.ybalab.qiat.sc2
religionid	3	10593816	pinus.ybalab.qiat.sc2
birthmonth	4	10593816	pinus.ybalab.qiat.sc2
raceomb	6	10593816	pinus.ybalab.qiat.sc2
major	7	10593816	pinus.ybalab.qiat.sc2
sex	f	10593816	pinus.ybalab.qiat.sc2
relfamily	nondenominational	10593816	pinus.ybalab.qiat.sc2
reldenom	nondenominational church	10593816	pinus.ybalab.qiat.sc2
religion	protestant	10593816	pinus.ybalab.qiat.sc2
citizenship	us	10593816	pinus.ybalab.qiat.sc2
residence	us	10593816	pinus.ybalab.qiat.sc2
dayofbirth	.	10593819	pinus.ybalab.qiat.sc2
politicalid	0	10593819	pinus.ybalab.qiat.sc2
birthmonth	11	10593819	pinus.ybalab.qiat.sc2
birthyear	1978	10593819	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593819	pinus.ybalab.qiat.sc2
religionid	2	10593819	pinus.ybalab.qiat.sc2
genoccupation	21	10593819	pinus.ybalab.qiat.sc2
occupation	21-1000	10593819	pinus.ybalab.qiat.sc2
raceomb	6	10593819	pinus.ybalab.qiat.sc2
education	7	10593819	pinus.ybalab.qiat.sc2
major	8	10593819	pinus.ybalab.qiat.sc2
sex	f	10593819	pinus.ybalab.qiat.sc2
relfamily	methodist	10593819	pinus.ybalab.qiat.sc2
religion	protestant	10593819	pinus.ybalab.qiat.sc2
reldenom	united methodist	10593819	pinus.ybalab.qiat.sc2
citizenship	us	10593819	pinus.ybalab.qiat.sc2
residence	us	10593819	pinus.ybalab.qiat.sc2
dayofbirth	.	10593823	pinus.ybalab.qiat.sc2
relfamily	.	10593823	pinus.ybalab.qiat.sc2
birthmonth	12	10593823	pinus.ybalab.qiat.sc2
education	12	10593823	pinus.ybalab.qiat.sc2
birthyear	1975	10593823	pinus.ybalab.qiat.sc2
ethnicityomb	2	10593823	pinus.ybalab.qiat.sc2
politicalid	2	10593823	pinus.ybalab.qiat.sc2
genoccupation	25	10593823	pinus.ybalab.qiat.sc2
religionid	3	10593823	pinus.ybalab.qiat.sc2
major	5	10593823	pinus.ybalab.qiat.sc2
raceomb	6	10593823	pinus.ybalab.qiat.sc2
sex	f	10593823	pinus.ybalab.qiat.sc2
religion	jewish	10593823	pinus.ybalab.qiat.sc2
citizenship	us	10593823	pinus.ybalab.qiat.sc2
residence	us	10593823	pinus.ybalab.qiat.sc2
dayofbirth	.	10593832	pinus.ybalab.qiat.sc2
politicalid	0	10593832	pinus.ybalab.qiat.sc2
ethnicityomb	1	10593832	pinus.ybalab.qiat.sc2
birthyear	1984	10593832	pinus.ybalab.qiat.sc2
religionid	2	10593832	pinus.ybalab.qiat.sc2
genoccupation	21	10593832	pinus.ybalab.qiat.sc2
occupation	21-1000	10593832	pinus.ybalab.qiat.sc2
major	5	10593832	pinus.ybalab.qiat.sc2
